year,vt_gap
2014,-338.67276924834096
2015,-291.6323395063728
2016,-214.83759592720526
2017,-342.5203433605029
2018,-631.3006676439281
2019,-766.923977862587
2020,-865.0690573247975
2021,-900.5060172857566
2022,-741.3226409419876
2023,-609.1420337042455
2024,-801.1769721187793
