state,year,deaths,percent_complete
MN,2025,1025,100
MO,2015,1087,100
MO,2016,1386,100
MO,2017,1398,100
MO,2018,1635,100
MO,2019,1603,100
MO,2020,1915,100
MO,2021,2195,100
MO,2022,2212,100
MO,2023,2014,100
MO,2024,1482,100
MO,2025,1236,100
MS,2015,333,100
MS,2016,332,100
MS,2017,329,100
MS,2018,290,100
MS,2019,365,100
MS,2020,532,100
MS,2021,746,100
MS,2022,702,100
MS,2023,633,100
MS,2024,491,100
MS,2025,451,100
MT,2015,131,100
MT,2016,114,100
MT,2017,118,100
MT,2018,117,100
MT,2019,139,100
MT,2020,157,100
MT,2021,189,100
MT,2022,191,100
MT,2023,184,100
MT,2024,171,100
MT,2025,174,100
NC,2015,1537,100
NC,2016,1931,100
NC,2017,2369,100
NC,2018,2246,100
NC,2019,2236,100
NC,2020,3121,100
NC,2021,3900,100
NC,2022,4255,100
NC,2023,3489,100
NC,2024,2771,100
NC,2025,1935,100
ND,2015,66,100
ND,2016,80,100
ND,2017,76,100
ND,2018,70,100
ND,2019,90,100
ND,2020,123,100
ND,2021,136,100
ND,2022,141,100
ND,2023,127,100
ND,2024,120,100
ND,2025,130,100
NE,2015,123,100
NE,2016,113,100
NE,2017,157,100
NE,2018,140,100
NE,2019,146,100
NE,2020,210,100
NE,2021,218,100
NE,2022,223,100
NE,2023,171,100
NE,2024,145,100
NE,2025,146,100
NH,2015,415,100
NH,2016,458,100
NH,2017,478,100
NH,2018,446,100
NH,2019,395,100
NH,2020,393,100
NH,2021,433,100
NH,2022,484,100
NH,2023,430,100
NH,2024,282,100
NH,2025,268,100
NJ,2015,1423,100
NJ,2016,1971,100
NJ,2017,2621,100
NJ,2018,2857,100
NJ,2019,2774,100
NJ,2020,2817,100
NJ,2021,3009,100
NJ,2022,2945,100
NJ,2023,2667,100
NJ,2024,1951,100
NJ,2025,1544,100
NM,2015,496,100
NM,2016,494,100
NM,2017,494,100
NM,2018,525,100
NM,2019,609,100
NM,2020,792,100
NM,2021,1040,100
NM,2022,1007,100
NM,2023,994,100
NM,2024,784,100
NM,2025,959,100
NV,2015,665,100
NV,2016,707,100
NV,2017,756,100
NV,2018,741,100
NV,2019,710,100
NV,2020,915,100
NV,2021,1039,100
NV,2022,1127,100
NV,2023,1400,100
NV,2024,1473,100
NV,2025,1229,100
NY,2015,1802,100
NY,2016,2248,100
NY,2017,2444,100
NY,2018,2236,100
NY,2019,2086,100
NY,2020,2874,100
NY,2021,3170,100
NY,2022,3401,100
NY,2023,3408,100
NY,2024,2331,100
NY,2025,1644,100
OH,2015,3336,100
OH,2016,4326,100
OH,2017,5138,100
OH,2018,4004,100
OH,2019,4279,100
OH,2020,5215,100
OH,2021,5405,100
OH,2022,5144,100
OH,2023,4745,100
OH,2024,3144,100
OH,2025,2446,100
